date,ILLIQ_EW
2017-03-01,-0.00753658797450373
2017-03-02,0.0052649944249442025
2017-03-03,-0.0021036180929659845
2017-03-06,-0.0020691476387807326
2017-03-07,0.0037359178082191783
2017-03-08,0.0006279460395579904
2017-03-09,-6.615912850054179e-05
2017-03-10,-0.0073467561926518
2017-03-13,0.0011930079145994503
2017-03-14,0.0028417013938047703
2017-03-15,-0.010126149421280156
2017-03-16,0.0044087577824699475
2017-03-17,0.00802614076109125
2017-03-20,-0.0007768274475000575
2017-03-21,0.003912101014740691
2017-03-22,-0.007128476517023778
2017-03-23,0.0013009457165934677
2017-03-24,0.004684328559277512
2017-03-27,0.0021604964788732397
2017-03-28,-0.005127226507764536
2017-03-29,0.003752479434366032
2017-03-30,0.0010489013420964628
2017-03-31,0.00331315395480226
2017-04-03,-0.003580230107860367
2017-04-04,-0.002757467165010494
2017-04-05,0.004167195557473537
2017-04-06,0.0016767020745428974
2017-04-07,0.004773060633063717
2017-04-10,0.0001180201622424683
2017-04-11,-0.0029357236776733167
2017-04-12,0.0028478571613504556
2017-04-13,0.005467655617837054
2017-04-17,-0.0074514208211824695
2017-04-18,-0.004734295726520583
2017-04-19,0.005066959047456226
2017-04-20,-0.005566944549552705
2017-04-21,0.001101300831088325
2017-04-24,-0.008583407428932998
2017-04-25,0.0015589676778895532
2017-04-26,0.0061503259432241116
2017-04-27,-0.001797888627149809
2017-04-28,0.008187931169904919
2017-05-01,-0.001866339048714275
2017-05-02,-0.002177055550174351
2017-05-03,0.0012381628213843018
2017-05-04,-0.005972618911995177
2017-05-05,-0.005794717891022899
2017-05-08,0.003848700902139443
2017-05-09,0.00018384522494984713
2017-05-10,-0.0019069121054753964
2017-05-11,0.0008160344141825821
2017-05-12,0.00041886026698422494
2017-05-15,-0.003794371391877937
2017-05-16,-0.002102412178516845
2017-05-17,0.004704588990544623
2017-05-18,-0.004193564581611495
2017-05-19,0.002093422973134045
2017-05-22,-0.0037330244885509485
2017-05-23,-0.0001130513095373855
2017-05-24,-0.0028397305366247663
2017-05-25,-0.0028740985177972515
2017-05-26,0.0012313005431883216
2017-05-30,-1.1043801486839647e-05
2017-05-31,0.0029696171487287116
2017-06-01,-0.010589689116155905
2017-06-02,0.004683536174005893
2017-06-05,-0.00020923157573360515
2017-06-06,0.0003225470529634449
2017-06-07,0.002801559660980582
2017-06-08,0.006320986564792917
2017-06-09,-0.001930600554026886
2017-06-12,-0.00030061743443642226
2017-06-13,-0.0028147810407340265
2017-06-14,0.001660570140879281
2017-06-15,-0.0006469460207612458
2017-06-16,-0.006349458967074592
2017-06-19,-0.0032376073885051404
2017-06-20,0.004081139205346569
2017-06-21,0.000106423627282238
2017-06-22,0.005050056432917995
2017-06-23,-0.0006020179307368646
2017-06-26,2.3605032306013877e-05
2017-06-27,0.006067425732171567
2017-06-28,-0.004282259519350812
2017-06-29,0.007784970222817924
2017-06-30,0.0026339624023995426
2017-07-03,0.0024579433257008476
2017-07-05,-0.0037019992492142396
2017-07-06,0.005827919397993311
2017-07-07,-0.0063816432715932715
2017-07-10,0.003325923515607496
2017-07-11,-0.004716852214452214
2017-07-12,-0.0016344353781512604
2017-07-13,0.0011241020243148805
2017-07-14,-5.164673507594003e-05
2017-07-17,-0.0009204471782001391
2017-07-18,-0.0037083015474288212
2017-07-19,-0.0040041494788658795
2017-07-20,0.00166336587714278
2017-07-21,0.00047671212638708213
2017-07-24,0.0033260253241549076
2017-07-25,-0.007483418800627124
2017-07-26,0.0024211868896130266
2017-07-27,-0.004709289774701726
2017-07-28,-0.0014228941057435633
2017-07-31,-0.002903243587158373
2017-08-01,-0.00427500469348659
2017-08-02,-0.002705182001133787
2017-08-03,0.00034513801817149343
2017-08-04,-0.0015063001790553618
2017-08-07,-0.0023018195195195195
2017-08-08,-0.0024240990977497227
2017-08-09,-0.007564524913276203
2017-08-10,0.007006471170809569
2017-08-11,-0.003682424290832426
2017-08-14,0.0034577760099839382
2017-08-15,-0.008666918322600251
2017-08-16,-0.004668029841969177
2017-08-17,0.008864565029226352
2017-08-18,0.004620352234352063
2017-08-21,-0.0002417142928958035
2017-08-22,-0.008548459946078203
2017-08-23,-0.0016157771631110107
2017-08-24,0.0038484117592034166
2017-08-25,0.002854013570026864
2017-08-28,-0.0009488989186784279
2017-08-29,0.005616589871885213
2017-08-30,-0.0008901888974629231
2017-08-31,-0.010618863482078621
2017-09-01,0.004572569332110398
2017-09-05,0.004759841171062867
2017-09-06,0.0016179204454763118
2017-09-07,0.002393780733322656
2017-09-08,-0.0003304565678734672
2017-09-11,-0.002254523772732675
2017-09-12,0.002712332954545455
2017-09-13,0.008107468743933217
2017-09-14,0.001139550550452739
2017-09-15,-0.0015056655918181223
2017-09-18,-0.00047626165880986534
2017-09-19,-0.0005998233089957295
2017-09-20,-0.0005092559281138196
2017-09-21,0.0026031877818718475
2017-09-22,0.00786185616918
2017-09-25,-0.0032389563872060453
2017-09-26,0.0028901398795705344
2017-09-27,-0.000321081238537059
2017-09-28,0.0015166523902346257
2017-09-29,-0.0031867310647537657
2017-10-02,-0.0008893655030326546
2017-10-03,0.0007391662948367447
2017-10-04,0.004119338458985563
2017-10-05,0.0026966819354479477
2017-10-06,0.007500103942484347
2017-10-09,0.005182950208540598
2017-10-10,-0.0015362672820425564
2017-10-11,0.0046567459680759175
2017-10-12,-0.005699401487327364
2017-10-13,0.0013674778097110876
2017-10-16,-0.0033647111418701778
2017-10-17,-0.005495331007843508
2017-10-18,-0.0012620039768415727
2017-10-19,-0.002720409665058528
