date,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom,ILLIQ
2017-03-01,0.0147,0.0052,0.0077,-0.0054,0.0053,1e-05,0.01629930837496909,-0.01335467833447591
2017-03-02,-0.006999999999999999,-0.0054,-0.009000000000000001,0.0063,-0.0043,1e-05,-0.015764688792383415,-0.0035055726009369033
2017-03-03,0.0009,-0.0018,0.0014000000000000002,-0.0006,-0.001,1e-05,0.0058560717431621325,0.007856085664705097
2017-03-06,-0.0038,-0.0040999999999999995,-0.0008,-0.0005,0.0001,1e-05,-0.00173414529985977,-0.007011620343127539
2017-03-07,-0.0036,-0.0034999999999999996,-0.0006,0.001,-0.0025,1e-05,-0.000654511298802787,0.001605183018172195
2017-03-08,-0.0019,-0.0019,-0.0083,0.0044,-0.0075,1e-05,-0.009437118682626564,-0.0036526288434228183
2017-03-09,0.0004,-0.0053,-0.0023,-0.0058,-0.0014000000000000002,1e-05,-0.004637679843508955,0.0014729499583388526
2017-03-10,0.0034000000000000002,0.0006,-0.0048,0.0027,0.0004,1e-05,-0.0028798156987431484,0.004241029831124518
2017-03-13,0.0013,0.0032,-0.0007000000000000001,-0.0012,0.0004,1e-05,0.006349927230955786,0.0016719712708810801
2017-03-14,-0.0036,-0.0022,0.0,0.005,-0.0025,1e-05,-0.0026116275477952,-0.005767200748024472
2017-03-15,0.0086,0.006999999999999999,-0.0046,-0.0012,0.005,1e-05,0.0010736300274088303,0.03070262503003199
2017-03-16,-0.0006,0.0044,0.0022,-0.0016,-0.0036,1e-05,0.0002643464638316137,-0.009788773126287644
2017-03-17,-0.0008,0.0058,-0.0033,0.0015,0.0002,1e-05,0.0026918648622129304,-0.0027650788803747096
2017-03-20,-0.0025,-0.002,-0.0072,-0.0015,-0.0005,1e-05,-0.0026320557915240164,0.016205855160826
2017-03-21,-0.0148,-0.0141,-0.0070999999999999995,0.0086,0.0029,1e-05,-0.024053491444646895,-0.008627592092249435
2017-03-22,0.0016,-0.0033,-0.005699999999999999,0.0016,-0.0016,1e-05,-0.0005086125086916399,-0.003262130860417776
2017-03-23,-0.0003,0.0074,0.0049,-0.0003,0.002,1e-05,0.005340019306034595,-0.008549391879203876
2017-03-24,-0.0005,0.0011,-0.0021,-0.0026,-0.0032,1e-05,0.000615765882643024,0.008880828916553321
2017-03-27,-0.0005,0.004699999999999999,-0.0049,-0.0021,-0.0027,1e-05,-0.002594672080234057,0.008852715542188853
2017-03-28,0.0072,-0.0005,0.0072,0.0005,0.0039000000000000003,1e-05,0.005053670054154392,-0.005854012562836406
2017-03-29,0.0018,0.0033,-0.0009,-0.0025,0.0012,1e-05,-0.003655281217072491,0.0056756036385388
2017-03-30,0.0036,0.0042,0.0092,-0.0006,-0.0016,1e-05,0.01074036260909948,-0.00507028000240563
2017-03-31,-0.0016,0.0055000000000000005,-0.0032,0.0004,0.0008,1e-05,0.0012964599601453881,-0.013256722051758625
2017-04-03,-0.0028000000000000004,-0.0115,-0.0008,-0.0015,-0.0006,3e-05,-0.004435215431877524,0.01036282611429241
2017-04-04,0.0005,-0.0024,0.0032,-0.0008,0.002,3e-05,0.0033205587267146385,-0.01855348226797537
2017-04-05,-0.0044,-0.0083,-0.003,0.0046,-0.001,3e-05,-0.008569231701102447,0.02000801381615441
2017-04-06,0.0032,0.0074,0.0048,-0.0013,0.0037,3e-05,0.00461781325680412,-0.007057680984716118
2017-04-07,-0.0008,0.0007000000000000001,-0.0026,0.0001,-0.0005,3e-05,-0.0003520789652400378,-0.014751605179145245
2017-04-10,0.0008,0.0014000000000000002,0.0007000000000000001,0.0019,0.0049,3e-05,-0.008444853787605676,-0.004869347382041079
2017-04-11,-0.0005,0.008,0.0023,0.0021,0.0019,3e-05,0.004797883928638292,-0.0016828361014009372
2017-04-12,-0.0049,-0.009399999999999999,-0.0054,-0.0004,-0.0054,3e-05,-0.01093341703739323,0.0012879237108198885
2017-04-13,-0.0075,-0.0034000000000000002,-0.008100000000000001,-0.0003,-0.0038,3e-05,-0.0063807613406557,0.004758041689443264
2017-04-17,0.0089,0.0029,0.0024,0.0002,-0.0014000000000000002,3e-05,0.006720703805802477,0.009524069244141948
2017-04-18,-0.0025,0.0031,-0.0019,0.0031,0.0011,3e-05,0.00044425098975741967,-0.006776290878170877
2017-04-19,-0.0008,0.005600000000000001,-0.0044,0.0044,-0.0084,3e-05,0.0030691910198123677,-0.010269854183189141
2017-04-20,0.0083,0.006,0.0026,0.0019,-0.002,3e-05,0.006880429067676269,-0.006655676318045193
2017-04-21,-0.0028000000000000004,0.0006,-0.0015,0.0034999999999999996,-0.0019,3e-05,0.0015529839258625088,0.0026044275261646217
2017-04-24,0.0118,0.0029,0.005,-0.0007000000000000001,0.0016,3e-05,0.011498061085794813,0.012074774988002628
2017-04-25,0.006500000000000001,0.004,-0.0007000000000000001,-0.0038,0.0031,3e-05,0.002463556434417164,-0.016319046645021984
2017-04-26,0.0004,0.0075,0.0032,0.0023,0.0,3e-05,0.0014017201195492012,-0.002445943097707006
2017-04-27,0.0005,-0.002,-0.0098,0.002,-0.005699999999999999,3e-05,-0.0008094130715163529,0.018001388742360427
2017-04-28,-0.003,-0.0076,-0.0060999999999999995,0.001,-0.0019,3e-05,-0.0052831936742184496,-0.00537467052011725
2017-05-01,0.0021,0.0025,-0.0013,-0.0017000000000000001,-0.005,3e-05,0.010342265382544232,0.02311218311470025
2017-05-02,0.0003,-0.004699999999999999,-0.0021,0.004,-0.0034999999999999996,3e-05,-0.008358045842451972,0.009012467886132131
2017-05-03,-0.0019,-0.0052,0.0022,-0.0004,0.0013,3e-05,-0.0018992039777049321,-0.01909140593717749
2017-05-04,0.0002,-0.0013,-0.0036,0.0036,-0.0070999999999999995,3e-05,-0.0015582124661982296,0.004155948331486176
2017-05-05,0.0046,0.0011,0.0,-0.0022,0.006500000000000001,3e-05,-0.002717907083517012,0.00885321592450189
2017-05-08,-0.0004,-0.0021,0.0026,0.0013,0.0008,3e-05,-0.00029506661737019145,-0.002308557641245867
2017-05-09,-0.0005,0.004,-0.008100000000000001,0.0034000000000000002,-0.0037,3e-05,0.00012030879136205397,-0.00713804669725808
2017-05-10,0.002,0.0025,0.0003,-0.0031,0.0039000000000000003,3e-05,0.0013975621702318238,-0.029560341318453552
2017-05-11,-0.0026,-0.0043,-0.0015,-0.0025,-0.0002,3e-05,-0.0008679949453384364,0.034648228041340115
2017-05-12,-0.0018,-0.0038,-0.0060999999999999995,-0.0027,-0.0033,3e-05,0.0001065450422231,0.001007629347504751
2017-05-15,0.0053,0.0025,0.002,-0.0031,0.0004,3e-05,0.00197506500714989,0.017295677162518817
2017-05-16,-0.0003,0.001,-0.0009,-0.0025,-0.0012,3e-05,0.008343034822976046,-0.0055422732048649665
2017-05-17,-0.0197,-0.0096,-0.006,0.0053,0.0029,3e-05,-0.02074506063364142,-0.02295199032733198
2017-05-18,0.004,0.0,-0.0039000000000000003,-0.0033,-0.0059,3e-05,0.0046848168417350875,-0.028006836166129558
2017-05-19,0.006999999999999999,-0.0034000000000000002,0.004,-0.0009,0.0079,3e-05,-0.00309382938376829,0.03428146467547684
2017-05-22,0.005600000000000001,0.0025,-0.003,-0.0004,-0.0031,3e-05,0.0037647625456261663,-0.012616478582920383
2017-05-23,0.0018,-0.0001,0.006500000000000001,-0.0023,0.0008,3e-05,0.0068550423112717605,0.006126628526687712
2017-05-24,0.0024,-0.0019,-0.0046,0.0014000000000000002,-0.003,3e-05,-0.0006154948610990084,0.016918528069060437
2017-05-25,0.0042,-0.0034999999999999996,-0.0075,0.0054,-0.0063,3e-05,0.0026132713042944745,-0.015570416125370273
2017-05-26,0.0006,-0.0003,0.001,0.0018,0.0014000000000000002,3e-05,0.0015553023027303195,0.029077012007673948
2017-05-30,-0.0019,-0.0054,-0.0034000000000000002,0.0063,-0.0004,3e-05,-0.002221150035476847,-0.009517774290102927
2017-05-31,-0.0002,-0.0004,-0.0053,0.0028000000000000004,-0.0009,3e-05,-0.0016828824492222442,-0.0185415158639138
2017-06-01,0.0095,0.0103,0.0004,-0.002,0.0005,3e-05,-0.00012234704678925745,0.003382220152992642
2017-06-02,0.0034999999999999996,0.0044,-0.0076,0.0015,-0.0048,3e-05,0.005488153639245117,0.0027840161933318786
2017-06-05,-0.0017000000000000001,-0.0046,-0.0003,-0.0017000000000000001,0.0005,3e-05,-0.0016191333058707595,-0.007170310456750171
2017-06-06,-0.0028000000000000004,0.001,-0.0003,-0.004699999999999999,0.0038,3e-05,-0.0009237288816411082,0.004042004490995168
2017-06-07,0.0015,-0.0012,-0.0004,0.0053,-0.0067,3e-05,0.010491584759609627,-0.0013660859462956078
2017-06-08,0.0018,0.011899999999999999,0.009300000000000001,-0.0069,-0.0005,3e-05,0.01628124974164573,0.0023384600371251117
2017-06-09,-0.0012,0.0031,0.024399999999999998,-0.0015,0.0109,3e-05,-0.009515558062627797,-0.025152338478615477
2017-06-12,-0.0011,-0.0017000000000000001,0.0034000000000000002,0.0008,0.005699999999999999,3e-05,-0.012260603621795705,-0.018681264835518695
2017-06-13,0.0055000000000000005,0.0006,-0.0014000000000000002,-0.003,-0.0008,3e-05,0.005075189975092984,0.004672083240401704
2017-06-14,-0.0017000000000000001,-0.0055000000000000005,-0.0052,0.0012,-0.0052,3e-05,-0.00556006257205806,0.031106810170748785
2017-06-15,-0.003,-0.003,-0.0011,0.0008,-0.001,3e-05,0.0011304767072082022,-0.004592656107024315
2017-06-16,-0.0003,-0.0025,-0.0015,-0.0046,0.0016,3e-05,-0.0003623292375503338,-0.010044683347223405
2017-06-19,0.0086,0.001,-0.0075,-0.0011,-0.001,3e-05,0.006377435573764731,0.0017619964376429636
2017-06-20,-0.0073,-0.0045000000000000005,-0.0048,-0.0021,-0.0023,3e-05,-0.0011792018708094384,-0.012769358344742493
2017-06-21,-0.0007000000000000001,-0.0023,-0.0167,-0.0023,-0.0115,3e-05,0.0015407585802828926,0.008187351301141631
2017-06-22,0.0002,0.0046,-0.004,-0.0017000000000000001,-0.0002,3e-05,-0.004534021287592459,0.014334346333129392
2017-06-23,0.0024,0.0075,-0.0048,-0.0037,0.0008,3e-05,0.0008252361811112439,0.00570622693824988
2017-06-26,0.0004,0.0009,0.006999999999999999,0.0022,0.0018,3e-05,-0.004141890938249145,0.004845324476509129
2017-06-27,-0.0085,-0.0021,0.0134,0.0034000000000000002,0.0034999999999999996,3e-05,-0.0011968133004789496,-0.006398666434725785
2017-06-28,0.0102,0.008,0.0021,-0.002,-0.001,3e-05,0.012453471830177344,-0.004255011693059723
2017-06-29,-0.0083,0.0005,0.0137,-0.0023,0.0034000000000000002,3e-05,-0.0018109002415380446,0.00451501909970576
2017-06-30,0.0014000000000000002,-0.0009,-0.0029,0.0021,0.003,3e-05,-0.004645955519854219,0.005779132597643175
2017-07-03,0.0024,0.0044,0.0121,-0.0053,0.0070999999999999995,4e-05,-0.0016372546623514145,-0.0038898453631542543
2017-07-05,0.0012,-0.0069,-0.0058,0.0014000000000000002,-0.0067,4e-05,0.01025785002650168,-0.021703652160112736
2017-07-06,-0.0095,-0.0044,0.0012,0.0021,-0.0008,4e-05,0.005792364733451702,0.003149828573872202
2017-07-07,0.006999999999999999,0.004,-0.0040999999999999995,0.0018,-0.005,4e-05,0.008808550760581032,0.013069429925564202
2017-07-10,0.0005,-0.004699999999999999,-0.0008,-0.0012,0.0,4e-05,0.0019306327975441955,0.007468038036449992
2017-07-11,0.0,0.0029,-0.0055000000000000005,-0.0033,0.0018,4e-05,-0.00013357408340500585,-0.0010430928834813905
2017-07-12,0.0072,0.0006,-0.0053,0.0012,-0.0021,4e-05,0.0021091540551044794,0.030767365739786653
2017-07-13,0.0017000000000000001,-0.0001,0.0039000000000000003,-0.0004,0.0018,4e-05,-0.0031223149687205766,0.004082421220955623
2017-07-14,0.0042,-0.0022,-0.0052,0.0016,-0.0001,4e-05,-0.0035663421077798724,0.004793188496121813
2017-07-17,0.0,0.0022,0.001,0.0018,0.0009,4e-05,-0.0007646064364528719,-0.0013019863405250075
2017-07-18,0.0004,-0.0037,-0.0031,-0.0009,-0.0042,4e-05,0.002211930169570007,-0.0014155028968573832
2017-07-19,0.0059,0.0046,0.0003,-0.0023,0.002,4e-05,-0.001679161170682057,0.0064742752708637375
2017-07-20,0.0,0.0006,-0.0004,0.0012,-0.0029,4e-05,-0.0006027495326022719,0.008822712286451461
2017-07-21,-0.0008,-0.0042,-0.0024,-0.0001,-0.0033,4e-05,0.0007713542620199662,-0.009130282605485327
2017-07-24,-0.0003,0.001,-0.0019,-0.0024,-0.0040999999999999995,4e-05,0.0095209743306713,0.0035769167497886915
2017-07-25,0.0038,0.0044,0.0096,-0.0019,0.0066,4e-05,-0.003092405893113277,-0.004590863216400898
2017-07-26,-0.0006,-0.0048,-0.0077,-0.0016,0.0007000000000000001,4e-05,-0.0056407882497912145,0.00035340302557346
2017-07-27,-0.0014000000000000002,-0.0068000000000000005,0.0044,0.0028000000000000004,0.0034999999999999996,4e-05,-0.012537929301557253,-0.0011771527988544963
2017-07-28,-0.0017000000000000001,-0.0006,0.0026,-0.0021,0.0025,4e-05,0.0019929881391198938,0.0026179857400734086
2017-07-31,-0.0011,-0.0028000000000000004,0.0043,-0.0007000000000000001,0.0004,4e-05,-0.0006919893334808322,0.005883281760187253
2017-08-01,0.0024,-0.0013,0.0014000000000000002,0.0027,-0.005,4e-05,0.0058520899953254935,0.007312929225803533
2017-08-02,-0.0008,-0.0116,0.0014000000000000002,0.0004,-0.0039000000000000003,4e-05,0.0020141140007602434,0.0010240052684872992
2017-08-03,-0.0021,-0.0036,-0.0033,0.0028000000000000004,-0.0034999999999999996,4e-05,0.0006067217215417297,-0.0002000151784423858
2017-08-04,0.0025,0.0036,0.0039000000000000003,-0.0003,0.0009,4e-05,0.0023282200972883004,-0.014567707914477545
2017-08-07,0.0016,-0.001,-0.0058,0.0024,-0.0037,4e-05,0.0022708654020293486,0.0162922762389309
2017-08-08,-0.0024,-0.0008,0.0024,-0.0033,-0.0019,4e-05,0.0057701687397936,-0.00413346752045312
2017-08-09,-0.0014000000000000002,-0.008,-0.0007000000000000001,0.0014000000000000002,0.0004,4e-05,-0.005840881617503518,-0.014584433754340051
