date,ILLIQ_VW
2017-03-01,-0.018349426774382796
2017-03-02,-0.002471027960135085
2017-03-03,0.007743981192782315
2017-03-06,-0.0055909954958017136
2017-03-07,0.003078344028361555
2017-03-08,-0.004615542917237297
2017-03-09,0.0007071575979000563
2017-03-10,0.00146558404633568
2017-03-13,0.00082424231171532
2017-03-14,-0.004149422046100264
2017-03-15,0.02548304967995861
2017-03-16,-0.008943179417625602
2017-03-17,-0.0032927727201879026
2017-03-20,0.015523946130750099
2017-03-21,-0.0039053057601057626
2017-03-22,-0.005377062440928262
2017-03-23,-0.007389276102544938
2017-03-24,0.008630826230046318
2017-03-27,0.007909790665660523
2017-03-28,-0.00756342217115368
2017-03-29,0.004527115868738652
2017-03-30,-0.004488630268736651
2017-03-31,-0.013424057285030228
2017-04-03,0.011361327426360214
2017-04-04,-0.018161019830127773
2017-04-05,0.02120648838585833
2017-04-06,-0.007548829447392177
2017-04-07,-0.015085322898572923
2017-04-10,-0.005318302210172267
2017-04-11,-0.0010563132601513184
2017-04-12,0.0022903657528320917
2017-04-13,0.0062151627468992054
2017-04-17,0.006088393839028304
2017-04-18,-0.006238470442747489
2017-04-19,-0.010752398846076391
2017-04-20,-0.009753070862432444
2017-04-21,0.0034811112322128343
2017-04-24,0.007860139331195233
2017-04-25,-0.01959056047806964
2017-04-26,-0.0019365842439648313
2017-04-27,0.015538278139592654
2017-04-28,-0.005517246647646642
2017-05-01,0.021956761240358676
2017-05-02,0.008415385764551109
2017-05-03,-0.01784100786884006
2017-05-04,0.0033719452079550146
2017-05-05,0.006477773386433392
2017-05-08,-0.0016147766727561703
2017-05-09,-0.00881618667252333
2017-05-10,-0.03276519592114828
2017-05-11,0.04823152744770651
2017-05-12,0.0003787093616882914
2017-05-15,0.015309211755015971
2017-05-16,-0.005664674825325283
2017-05-17,-0.015772414385438836
2017-05-18,-0.088478332684402
2017-05-19,0.03174591948556529
2017-05-22,-0.015816027725993546
2017-05-23,0.006776190657825308
2017-05-24,0.01476133667122475
2017-05-25,-0.01911281371206963
2017-05-26,0.02891611922860797
2017-05-30,-0.009555806607414109
2017-05-31,-0.01978000890244735
2017-06-01,-0.0008724922223902459
2017-06-02,-0.0005234379170641168
2017-06-05,-0.006583098501285986
2017-06-06,0.005002271814570406
2017-06-07,-0.0019748191366521966
2017-06-08,0.003709807764030492
2017-06-09,-0.019210611995740923
2017-06-12,-0.0176582833275452
2017-06-13,0.0018199368852963747
2017-06-14,0.03071862940965376
2017-06-15,-0.0035625561348936537
2017-06-16,-0.010412724579530921
2017-06-19,-0.003940088879385053
2017-06-20,-0.010660434671575994
2017-06-21,0.004807251753426239
2017-06-22,0.01320498454054586
2017-06-23,0.003363728465873951
2017-06-26,0.006205652714976804
2017-06-27,0.0004245890144170851
2017-06-28,-0.008359020366786
2017-06-29,0.011324715517377118
2017-06-30,0.0042625947985782025
2017-07-03,-0.002386244838581332
2017-07-05,-0.023479730871498128
2017-07-06,0.0076350441122435666
2017-07-07,0.009046968314890769
2017-07-10,0.006968541043763871
2017-07-11,-0.002516681616711191
2017-07-12,0.02626156309675545
2017-07-13,0.004113965332254049
2017-07-14,0.0015814673332055999
2017-07-17,-0.0011764120818279719
2017-07-18,-0.002273096926163936
2017-07-19,0.0037519055161140064
2017-07-20,0.008747946441728913
2017-07-21,-0.00931477250755574
2017-07-24,0.0033181154889341804
2017-07-25,-0.0042981274001994444
2017-07-26,-0.0013423359852782954
2017-07-27,0.0003004462657323387
2017-07-28,0.003832024691224107
2017-07-31,0.007314409868832975
2017-08-01,0.006674073259683432
2017-08-02,0.0017770749683815156
2017-08-03,-1.2623046806658177e-05
2017-08-04,-0.014861595683943416
2017-08-07,0.014229008149882283
2017-08-08,-0.0024957204242421257
2017-08-09,-0.014224239372233308
2017-08-10,0.00997690700567138
2017-08-11,0.006378479737369199
2017-08-14,0.00054496245675348
2017-08-15,-0.017689443339675676
2017-08-16,0.026721684596085392
2017-08-17,-0.007897160085260278
2017-08-18,0.02437096326663192
2017-08-21,-0.0037357994293408473
2017-08-22,0.006220019868047747
2017-08-23,-0.005255488671436754
2017-08-24,0.014280103255488109
2017-08-25,0.0027078378260214217
2017-08-28,-0.0028582754163359726
2017-08-29,0.0019227489598403306
2017-08-30,-0.012330298863324998
2017-08-31,-0.011436467583493377
2017-09-01,0.00959165087354581
2017-09-05,-0.003245150985784431
2017-09-06,0.03427578794146838
2017-09-07,0.002925341073155545
2017-09-08,0.00823168604356395
2017-09-11,0.01599350842892768
2017-09-12,-0.005883893747164361
2017-09-13,0.013704147680004363
2017-09-14,0.01406056298829322
2017-09-15,-0.019691851234565808
2017-09-18,-0.00345781599669753
2017-09-19,-0.00481481980601482
2017-09-20,-0.007436251484770816
2017-09-21,0.012285837214330965
2017-09-22,0.007733019695994562
2017-09-25,-0.011581042319502329
2017-09-26,-0.009403767581848074
2017-09-27,-0.013054596681722444
2017-09-28,0.00114430755455189
2017-09-29,-0.0010298522750499819
2017-10-02,0.00022318562169388679
2017-10-03,0.032333095986540515
2017-10-04,0.0031408373838900452
2017-10-05,0.002334735991619474
2017-10-06,-0.005452822328453499
2017-10-09,-0.012450969436097808
2017-10-10,0.010175173095087288
2017-10-11,0.01853432663983493
2017-10-12,-0.016808666431106983
2017-10-13,-0.004334071306123066
2017-10-16,-0.016735305646618372
2017-10-17,-0.0017195998869910536
2017-10-18,-0.0031548007819163664
2017-10-19,-0.013357506054553919
2017-10-20,0.016413140043418616
2017-10-23,-0.014303875228655095
2017-10-24,-0.01649736901372422
